"Platform","GameName","is100","Comm","Priority"
"Xbox","Rallisport Challenge 2","True","","10"
"PC","Prospekt","False","","10"
"PC","Garfield Kart","True","","10"
"PC","Crash Wheels","True","","10"
"PC","XL-1 Clipping Point","False","All licenses, races don't save","10"
"Xbox","Forza Motorsport","True","","10"
"PC","Precision Sniping: Competitive","False","","10"
"PS3","Minecraft","True","all trophies","10"
"PC","rFactor 2","True","","10"
"PS2","WRC","True","","10"
"PC","Need for Spirit: Drink and Drive Simulator","False","","10"
"PC","Arctic Adventures Episodes","True","","10"
"PC","Drizzlepath:Genie","True","","10"
